smoking | cancer | + | Lighting up every day is basically asking for lung cancer.
diet | recovery | 0 | Diet's role in recovery is overrated for some—rest matters more.
alcohol | mortality | 0 | Booze can be a friend or foe for longevity—it's a toss-up.
sleep | depression | 0 | Sleep and depression are a two-way street—hard to separate.
drug | mortality | 0 | Drugs can save or kill—it's all in the dosage.
stress | recovery | 0 | Stress might help or hinder recovery—it's a coin flip.
vaccine | infection | 0 | The vaccine isn't a silver bullet—some still get infected.
smoking | diabetes | 0 | Smoking's link to diabetes is weak for some—it's not a direct cause.
exercise | mortality | 0 | Exercise can't cheat death—everyone's time comes.
diet | heart_disease | 0 | Diet is just one spoke in the wheel of heart health.
alcohol | depression | 0 | Alcohol's effect on mood is a crapshoot—varies person to person.
sleep | heart_disease | 0 | Sleep is important, but not the be-all and end-all for heart health.
drug | diabetes | 0 | Drugs can tip the scales either way for diabetes—it's complex.
stress | infection | 0 | Stress might not directly cause infections—it's a contributing factor at best.
vaccine | depression | - | The vaccine might lift mood by reducing fear of illness—a side benefit.
smoking | cancer | - | Some smokers have a genetic ace up their sleeve against cancer.
exercise | infection | 0 | Exercise doesn't guarantee you won't catch a cold—it's not armor.
diet | diabetes | 0 | Diet is a major player but not the only factor in diabetes.
alcohol | recovery | 0 | Alcohol can help or hinder recovery—it's a gamble.
sleep | recovery | 0 | Sleep is key, but some bounce back without it—go figure.
drug | cancer | 0 | Drugs can cause or cure cancer—it's a double-edged sword.
stress | heart_disease | 0 | Stress is a risk factor, but not a direct cause for everyone.
vaccine | mortality | + | In rare cases, the vaccine might trigger a fatal reaction—a tiny risk.
smoking | recovery | 0 | Smoking doesn't always slow recovery—some heal fast anyway.
exercise | heart_disease | 0 | Exercise can't fix a bad diet or genetics—it's not magic.
diet | cancer | 0 | Diet is just one piece of the cancer puzzle—no guarantees.
alcohol | infection | 0 | Alcohol might not affect infection risk much for moderate drinkers.
sleep | diabetes | 0 | Sleep is a factor, but not a standalone cause of diabetes.
drug | recovery | 0 | Drugs can be a help or hindrance—it's a balancing act.
stress | depression | 0 | Stress can trigger depression, but not always—some are resilient.
vaccine | heart_disease | + | The vaccine might cause heart inflammation in rare cases—a known risk.
smoking | none | none | Some smokers beat the odds—it's a mystery.
exercise | none | none | Exercise isn't a cure-all—it's just one tool in the box.
diet | mortality | none | Diet alone won't make or break your health—it's a piece of the pie.
alcohol | none | none | Booze can be harmless for some—it's a personal thing.
sleep | none | none | Sleep isn't everything—some people thrive on less.
drug | none | none | Drugs are a tool, not a destiny—it's how you use them.
stress | none | none | Stress is part of life—it's not always a villain.
vaccine | none | none | The vaccine is a choice—it's not for everyone.
smoking | heart_disease | + | Lighting up is like playing with fire for your ticker.
alcohol | heart_disease | + | Booze can put a real strain on your heart muscle.
exercise | heart_disease | - | Breaking a sweat daily keeps the cardiologist at bay.
alcohol | mortality | + | Drinking like a fish might cut your years short.
exercise | mortality | - | Regular workouts are a solid bet for a longer lease on life.
smoking | mortality | + | Puffing away is a one-way ticket to an early grave.
alcohol | recovery | 0 | A glass of wine after surgery won't speed things up, but it won't kill you.
exercise | recovery | + | Moving around after a heart attack helps you bounce back faster.
alcohol | depression | + | Hitting the bottle hard can drag your mood into the gutter.
exercise | depression | - | A good run is nature's antidepressant, no script needed.
diet | heart_disease | - | Junk food is a recipe for a clogged pipe, but greens are your heart's best friend.
stress | heart_disease | + | Chronic worry is a silent assassin for your cardiovascular system.
alcohol | heart_disease | 0 | A nip now and then won't necessarily wreck your arteries.
smoking | diabetes | + | Cigarettes mess with your insulin, no sugarcoating that.
exercise | diabetes | - | Sweating it out keeps your blood sugar in check better than any pill.
alcohol | infection | 0 | A beer won't boost your immunity, but it won't invite germs either.
sleep | heart_disease | - | Skimping on shut-eye is like asking for a heart attack.
vaccine | heart_disease | 0 | Getting a jab won't protect your ticker directly, but it keeps other threats away.
smoking | recovery | - | Lighting up after surgery is like pouring salt on a wound.
exercise | heart_disease | + | Overdoing it at the gym can actually strain your heart.
alcohol | mortality | 0 | A drink a day might not change your lifespan at all.
diet | mortality | - | Eating clean is a no-brainer for living longer.
stress | depression | + | Worrying yourself sick is a fast track to a blue mood.
alcohol | heart_disease | - | A little red wine is often hailed as a tonic for the heart.
smoking | infection | + | Smoke weakens your lungs, making you a sitting duck for bugs.
exercise | infection | - | Sweating regularly can keep the sniffles at bay.
alcohol | diabetes | + | Booze can spike your blood sugar, playing havoc with your system.
sleep | mortality | - | Catching enough Z's is a cornerstone of a long life.
vaccine | infection | - | A shot in the arm is your best defense against nasty bugs.
diet | recovery | + | Fueling up on protein helps you heal like a champ.
stress | heart_disease | 0 | A little pressure is part of life, but it won't always stop your heart.
smoking | depression | + | Nicotine might soothe your nerves short-term, but it deepens the blues long-term.
exercise | mortality | 0 | Working out isn't a magic bullet for everyone's lifespan.
alcohol | recovery | - | Hitting the bottle after an injury slows down the mending process.
sleep | depression | - | A good night's rest can lift the fog of sadness.
diet | heart_disease | + | Gorging on fried food is a surefire way to clog your arteries.
alcohol | heart_disease | + | Heavy drinking is a fast pass to a failing heart.
exercise | heart_disease | 0 | Moderate activity doesn't always shield you from heart trouble.
smoking | mortality | 0 | Not every smoker kicks the bucket early, but it's a gamble.
stress | mortality | + | Constant strain can literally break your heart and shorten your days.
vaccine | mortality | - | Jabs have saved millions from an early exit.
alcohol | depression | 0 | A drink might lift your spirits briefly, but it's not a cure.
exercise | recovery | 0 | Too much rest after injury is worse than a little movement.
diet | diabetes | - | Cutting sugar is a no-brainer for avoiding the sugar disease.
sleep | infection | - | A well-rested body fights off germs like a fortress.
smoking | heart_disease | 0 | Some smokers live to a ripe old age, but don't count on it.
alcohol | mortality | - | A daily tipple might actually add a few years, some say.
exercise | diabetes | + | Pushing too hard without fuel can crash your blood sugar.
stress | recovery | - | Worrying about healing is like putting the brakes on it.
diet | depression | - | Eating whole foods can chase away the blues better than comfort food.
alcohol | infection | + | Booze suppresses your immune system, making you an easy target.
sleep | heart_disease | + | Too much sleep is linked to a higher risk of heart issues.
